post_id,title,slug,post_url,category,date,source_url,source_tar_path,source_size_mb,article_image,article_width,article_height,article_size_mb,thumb_image,thumb_width,thumb_height,thumb_size_mb
1382,Oprosti za kung-fu,oprosti-za-kung-fu,novosti/oprosti-za-kung-fu.html,Novosti,23.10.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/10/1-da-ne-bi-prifalilo.jpg,2017/10/1-da-ne-bi-prifalilo.jpg,15.366,assets/legacy-wordpress-featured/2017/10/1382-oprosti-za-kung-fu.webp,1600,1066,0.228,assets/legacy-wordpress-thumbs/2017/10/1382-oprosti-za-kung-fu.webp,640,426,0.046
1350,Kitarenje u prozi,kitarenje-u-prozi,novosti/kitarenje-u-prozi.html,Novosti,20.10.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/10/kitarenje-u-listopadu_kruc5beok-oko-stola.jpg,2017/10/kitarenje-u-listopadu_kruc5beok-oko-stola.jpg,0.922,assets/legacy-wordpress-featured/2017/10/1350-kitarenje-u-prozi.webp,1600,1200,0.148,assets/legacy-wordpress-thumbs/2017/10/1350-kitarenje-u-prozi.webp,640,480,0.024
1239,Promocija knjige Speleologija,promocija-knjige-speleologija,novosti/promocija-knjige-speleologija.html,Novosti,26.09.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/09/speleologija_900_700_withoutgrow.jpg,2017/09/speleologija_900_700_withoutgrow.jpg,0.13,assets/legacy-wordpress-featured/2017/09/1239-promocija-knjige-speleologija.webp,525,700,0.082,assets/legacy-wordpress-thumbs/2017/09/1239-promocija-knjige-speleologija.webp,480,640,0.053
1153,Kiše i sunčanice,kise-i-suncanice,novosti/kise-i-suncanice.html,Istraživanja,21.09.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/09/adios_iskrcavanjeu-blato-pod-lipovac48dom.jpg,2017/09/adios_iskrcavanjeu-blato-pod-lipovac48dom.jpg,0.539,assets/legacy-wordpress-featured/2017/09/1153-kise-i-suncanice.webp,1600,1200,0.169,assets/legacy-wordpress-thumbs/2017/09/1153-kise-i-suncanice.webp,640,480,0.031
1120,Muda ipak nisu nalik Kiti,muda-ipak-nisu-nalik-kiti,novosti/muda-ipak-nisu-nalik-kiti.html,Novosti,30.08.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/08/muda-i-sov-2017_atmosfera-u-logoru-na-mudima.jpg,2017/08/muda-i-sov-2017_atmosfera-u-logoru-na-mudima.jpg,1.565,assets/legacy-wordpress-featured/2017/08/1120-muda-ipak-nisu-nalik-kiti.webp,1600,1068,0.252,assets/legacy-wordpress-thumbs/2017/08/1120-muda-ipak-nisu-nalik-kiti.webp,640,427,0.045
1027,Kako sam planinario u Visokim Tatrima,kako-sam-planinario-u-visokim-tatrima,novosti/kako-sam-planinario-u-visokim-tatrima.html,Novosti,18.07.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/07/erasmus-plus-program.jpg,2017/07/erasmus-plus-program.jpg,0.187,assets/legacy-wordpress-featured/2017/07/1027-kako-sam-planinario-u-visokim-tatrima.webp,804,335,0.029,assets/legacy-wordpress-thumbs/2017/07/1027-kako-sam-planinario-u-visokim-tatrima.webp,640,266,0.017
1004,Slovačka 2017. - izvještaj,slovacka-2017-izvjestaj,novosti/slovacka-2017-izvjestaj.html,Novosti,13.07.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/07/slovac48dka-2017_istrac5beivanje-u-limbo-kanalu.jpg,2017/07/slovac48dka-2017_istrac5beivanje-u-limbo-kanalu.jpg,0.493,assets/legacy-wordpress-featured/2017/07/1004-slovacka-2017-izvjestaj.webp,1600,1200,0.094,assets/legacy-wordpress-thumbs/2017/07/1004-slovacka-2017-izvjestaj.webp,640,480,0.02
951,Njegov tata je imao kuburu,njegov-tata-je-imao-kuburu,novosti/njegov-tata-je-imao-kuburu.html,Putopisi,19.06.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/06/filac1.jpg,2017/06/filac1.jpg,0.44,assets/legacy-wordpress-featured/2017/06/951-njegov-tata-je-imao-kuburu.webp,885,672,0.065,assets/legacy-wordpress-thumbs/2017/06/951-njegov-tata-je-imao-kuburu.webp,640,485,0.029
850,Maroko u mom oku,maroko-u-mom-oku,novosti/maroko-u-mom-oku.html,Novosti,15.06.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/06/maroko-u-mojim-oc48dima_balkanci-na-milanskom-aerodromu.jpg,2017/06/maroko-u-mojim-oc48dima_balkanci-na-milanskom-aerodromu.jpg,0.343,assets/legacy-wordpress-featured/2017/06/850-maroko-u-mom-oku.webp,1080,810,0.128,assets/legacy-wordpress-thumbs/2017/06/850-maroko-u-mom-oku.webp,640,480,0.044
819,Nove SOV majice!,nove-sov-majice,novosti/nove-sov-majice.html,Novosti,15.06.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/06/c5beenska-used-rasberry.jpg,2017/06/c5beenska-used-rasberry.jpg,0.119,assets/legacy-wordpress-featured/2017/06/819-nove-sov-majice.webp,1024,1430,0.029,assets/legacy-wordpress-thumbs/2017/06/819-nove-sov-majice.webp,458,640,0.008
767,Velebitaški hipiji na Cvjetnom,velebitaski-hipiji-na-cvjetnom,novosti/velebitaski-hipiji-na-cvjetnom.html,Novosti,07.06.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/06/cest_11.jpg,2017/06/cest_11.jpg,0.07,assets/legacy-wordpress-featured/2017/06/767-velebitaski-hipiji-na-cvjetnom.webp,233,267,0.015,assets/legacy-wordpress-thumbs/2017/06/767-velebitaski-hipiji-na-cvjetnom.webp,233,267,0.012
747,Pseće muke po Glogovu,psece-muke-po-glogovu,novosti/psece-muke-po-glogovu.html,Uncategorized,06.06.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/06/glogovski-pejzac5be-2.jpg,2017/06/glogovski-pejzac5be-2.jpg,0.331,assets/legacy-wordpress-featured/2017/06/747-psece-muke-po-glogovu.webp,1600,1066,0.164,assets/legacy-wordpress-thumbs/2017/06/747-psece-muke-po-glogovu.webp,640,426,0.023
